"BROOKHOLLOW LIBRARY","530 Heimer Rd., San Antonio, TX","-98.473549","29.569931"
"CASTLE HILLS CITY HALL (SE CORNER OF COUNCIL CHAMBERS)","209 Lemonwood Dr., San Antonio, TX","-98.52116","29.521676"
"CODY LIBRARY","1141 Vance Jackson, San Antonio, TX","-98.552709","29.540443"
"GREAT NORTHWEST LIBRARY","9050 Wellwood, San Antonio, TX","-98.662088","29.483679"
"HELOTES CITY HALL","12951 Bandera Rd., San Antonio, TX","-98.667268","29.553739"
"HENRY A. GUERRA, JR. LIBRARY","7978 W Military Dr., San Antonio, TX","-98.625491","29.425702"
"JOHN IGO LIBRARY","13330 Kyle Seale Parkway, San Antonio, TX","-98.421298","29.578716"
"JOHNSTON LIBRARY","6307 Sun Valley Dr., San Antonio, TX","-98.639404","29.370712"
"JULIA YATES SEMMES LIBRARY @ Comanche Lookout Parkway","15060 Judson Rd. 15060 Judson Rd., San Antonio, TX","-98.372679","29.578494"
"KIRBY CITY HALL","15060 Judson Rd, San Antonio, TX","-98.372679","29.578494"
"LEON VALLEY CONFERENCE CENTER","6421 Evers Rd., San Antonio, TX","-98.61301","29.500674"
"LION’S FIELD","2809 Broadway, San Antonio, TX","-98.472826","29.452856"
"LUNA MIDDLE SCHOOL","200 N Grosenbacher Rd., San Antonio, TX","-98.735296","29.411001"
"MAURY MAVERICK, JR. LIBRARY","8700 Mystic Park, San Antonio, TX","-98.642649","29.521973"
"NORTHSIDE ACTIVITY CENTER","7001 Culebra, San Antonio, TX","-98.617691","29.451295"
"OLMOS PARK CITY HALL","120 West El Prado Dr., San Antonio, TX","-98.490657","29.471896"
"PARMAN LIBRARY @ Stone Oak","20735 Wilderness Oak, San Antonio, TX","-98.517334","29.634844"
"SAN ANTONIO COMMUNITY COLLEGE (ECO Centro Bldg)","1802 N. Main, San Antonio, TX","-98.494135","29.446014"
"SHAVANO PARK CITY HALL… (COUNCIL CHAMBERS)","900 Saddletree Ct., San Antonio, TX","-98.55497","29.585917"
"SOMERSET CITY HALL","7360 E. 6th, Somerset, San Antonio, TX","-98.499318","29.37242"
"SOUTH PARK MALL","2310 S.W. Military, San Antonio, TX","-98.530971","29.356575"
"STEVENS HIGH SCHOOL","600 N Ellison Dr., San Antonio, TX","-98.68708","29.438686"
"TOBIN LIBRARY @ OAKWELL","4134 Harry Wurzbach, San Antonio, TX","-98.434539","29.509751"
"UNIVERSAL CITY – CITY HALL","2150 Universal City Blvd., San Antonio, TX","-98.520011","29.448145"
"WATERWOOD CLUBHOUSE","4418 Hickory Haven Dr., San Antonio, TX","-98.455855","29.178263"
"WINDCREST TAKAS PARK CIVIC CENTER","9310 Jim Seal Dr., San Antonio, TX","-98.379819","29.52299"
"WONDERLAND MALL OF THE AMERICAS @ CROSSROADS","4522 Fredericksburg, San Antonio, TX","-98.553621","29.492638"
